source,name,slug,alias,type,status,description,universe,categories,stories,places,affiliates,abilities
DreamNightmareGods,Hellshadow,hellshadow,,Mythology,published,"Rank: Shadow Residents

Often seen as Tonik’s most loyal shadow resident, this creature has an almost human appearance. The pins that come out of its body has connections to all its victims. Each pin contains the energy drained from its victims allowing Hellshadow to grow almost godlike in power. He has since taken control over the lower kingdom of Nigerakarte and was sent to Universe 62 to steal more souls.",Main Universe,Mythology; Gods and Goddesses,,,Shadow Realm; Universe 62,
DreamNightmareGods,Ginji,ginji,,Mythology,published,"Rank: Shadow Creatures

Demonic creatures that appear like fairies, with their dark broken wings, deadly acidic blood, and dark natured attitudes. They are fast and appears in almost every bedtime story to scare children into obedience. Once a part of the Black Forest, these creatures were banished to the Shadow Realm by the first fairy because they killed hundreds of fairies for their fairydust.",Main Universe,Mythology; Gods and Goddesses,,,Shadow Realms,
DreamNightmareGods,Inorog,inorog,,Mythology,published,"Rank: Shadow Creatures

A black horse seen with a hundred dark fired tails engulfed in a potent acid. If touched this creature could drain the energy of anyone including gods and send their souls to Hell. This creature was created by Tonik to control and govern the residents of Shadow Realm.",Main Universe,Mythology; Gods and Goddesses,,,Shadow Realms,
DreamNightmareGods,Skin Demon,skin-demon,,Mythology,published,"Rank: Shadow Residents

A convicted killer that wears the skin of his victims. Brian Willworth was a socialite that went insane when he was outed by his parents. His money was stolen by his friends, and his best friend was killed by his boyfriend. His life was destroyed and no one to turn to, except the devil. He gained the ability to steal the skin of his victims and murdered almost everyone in his life. After his initial mission was over, he was killed and sent to Hell. Here his soul was taken by Tonik to become a Shadow Resident. He was later sent to Universe 64 to murder that universe’s version of his family and friends to gain more power.",Main Universe,Mythology; Gods and Goddesses,,,Shadow Realms,
DreamNightmareGods,Truth Stealer,truth-stealer,,Mythology,published,"Rank: Shadow Residents

The Truth Stealer feeds on lies, in Universe 65, he stole everyone’s lies except for a few residents of that universe’s Earth. In fear of his return, the residents of this Earth live in a perpetual state of truth and cannot lie even if they wanted to. One day a man changes that by telling a lie, when the Truth Stealer appeared to him, the man killed the demon and banished him back to the Shadow Realm. Here Tonik made the Truth Stealer one of his Shadow Guards.",Main Universe,Mythology; Gods and Goddesses,,,Shadow Realm; Universe 65; Shadow Guard,
DreamNightmareGods,Shadow Guard,shadow-guard,,Mythology,published,"Rank: Shadow Residents

A group of elite warriors capable of creating dimensional gateways to many parts of the Shadow Realm. A feat previously only capable of by Tonik himself. This power allows the guards to watch and intervene in illegal activities in the Shadow Realm. These guards are bestowed incredible power and are stronger than any other Shadow Resident and Shadow Creature.",Main Universe,Mythology; Gods and Goddesses,,,Shadow Guard; Tonik; Shadow Realm,
DreamNightmareGods,Hell Dolls,hell-dolls,,Mythology,published,"Rank: Shadow Residents

Deadly dolls that contain the souls of previously deceased murderers. Each of these dolls appear almost animated until they are defeated by someone pure of heart. So far collectively these dolls have murdered over 500 people of Earth in Universe 67.",Main Universe,Mythology; Gods and Goddesses,,,Shadow Realm,
DreamNightmareGods,Shadow Realm Ferryman,shadow-realm-ferryman,,Mythology,published,"Rank: Shadow Resident

The ferryman that transports souls between the Shadow Realm and Hell. Because the two realms appear almost side by side of each other, separated by a large black river. The ferryman can freely go between both. On one end, there is fire with cities made up of bones and the other a place of shadows although appearing almost like our own Earth. The ferryman often stays in the Shadow Realm because its more appeasing appearance. The ferryman is the sibling to the ferrymen of Eternity and Onur “the Underworld”.",Main Universe,Mythology; Gods and Goddesses,,,Shadow Realm,
DreamNightmareGods,Gate Watchers,gate-watchers,,Mythology,published,"Rank: Shadow Residents

Gate Watchers are large golem like creatures with almost impenetrable armor. Their only function is to protect the Shadow Realm from invaders from either of its eight entry points. Also, their objectives are to stop those from freely escaping the Shadow Realm without Tonik’s permission.",Main Universe,Mythology; Gods and Goddesses,,,Shadow Realm; Tonik,
DreamNightmareGods,Fear Demons,fear-demons,,Mythology,published,"Rank: Shadow Creatures

A scarecrow like creature that eats bats and humans. Originally a creature of Hell, Tonik convinced these creatures to take residents in the Shadow Realm of which they agreed unanimously.",Main Universe,Mythology; Gods and Goddesses,,,Shadow Realm,
DreamNightmareGods,Arminoids,arminoids,,Mythology,published,"Rank: Shadow Creatures

Half demon, half insect, half human parts. These creatures are powerful and varied in appearance and personalities. Some remember their previous lives, while others don’t allow them to become even more dangerous. They are children to Jegeru and Tonik.",Main Universe,Mythology; Gods and Goddesses,,,Shadow Realm; Tonik; Jegeru,
DreamNightmareGods,Vomir,vomir,,Mythology,published,"Rank: God of Prayer & Silence

A silent god of the Shadow Realm that watches over its residents. It keeps their prayers and deliver them appropriately to their god of worship. Although he barely speaks, his whispers are translated as words to the god Tonik providing council to the deity.",Main Universe,Mythology; Gods and Goddesses,,,Shadow Realm; Tonik,
EarthGods,Tur’,tur,,Mythology,published,"Rank: God of the Earth

Tur' God of the Earth took shape under his mother Santiyline's dress as a trembling boy who could make flowers grow and glow with just a touch. As he grew older his roots burned off and he then took his first step on the grounds that he nourished for hundreds of years before. Now out and about onto the world, Tur' made his contributions first he gave the uninhabitable Earth sweet green grass and beautiful flowers plucked from his hair. Then he spit onto the ground and out came lakes and ponds. From his tears came the nature spirits the Nareids or Earth Maidens. With his fingernails broke off the first magical creature the unicorn. From his sperm came a legion of magical creatures. Now with a world of magical creatures he created them a home separate of the Earth but in its exact image and named it the Other World. Tur' then with his daughters the Nareids gave birth to the satyrs, centaurs, camel, frogs, crocodiles, alligators, and the elephant. For Tur' love life he fell in love with his aunt Adv and when her love was returned the two committed in intercourse. But because his mother Santiyline thought that her sister was taking advantage of her son, she pulled the two apart and placed Adv in the sky and Tur' as the ground of the Earth. But Adv was falling in love and so was her body the sky with her, so to make sure the sky wouldn't collapse on the ground below.",Main Universe,Mythology; Gods and Goddesses,,,Earth Gods,
EarthGods,As a guide on Earth,as-a-guide-on-earth,,Mythology,published,"During the battle in Mostibik, Tur lost most of his powers. Sent to Earth for protection by his mother, Santiyline. He built a robot named Beta 6 and the two created a base under the Earth to create and guide numerous super powered individuals on Earth against the rising demonic forces. He took the powers of his fellow gods and placed them inside of crystals calling the Earth Crystals and scattered them across the world. He collected them again when he needed to form the Earth Raiders, a team of young individuals who will save the world from the oncoming rise of Santaniel.",Main Universe,Mythology; Gods and Goddesses,,,,
EarthGods,Losia,losia,,Mythology,published,"Rank: Creator of Lostasia

Losia was founder and sometimes referred to as the creator of Lostasia. He was the first man but when he became to smart, the gods took him to the heavens and made him a god. From there he watches over Lostasia and serves as their protector.",Main Universe,Mythology; Gods and Goddesses,,,Earth Gods,
EarthGods,Ku’,ku,,Mythology,published,"Ku' Flame eared snake headed deity that never reveals himself to anyone not even the gods unless they threaten nature. Sent to Earth by Santiyline, this deity uses its ears to listen out for intruders and hides in the deep woods with its ears covered by grass.",Main Universe,Mythology; Gods and Goddesses,,,Elitsyian Gods,
EarthGods,Cresha,cresha,,Mythology,published,"Rank: Goddess of the Sacred Gardens

In the sacred garden demons and spirits could not enter, as for gods they had to have permission by the Elitsyians and Cresha before entering. Cresha protected the lands until the final day when the mysterious but beautiful garden disappeared. In Christian Mythology this garden is called the Garden of Eden.",Main Universe,Mythology; Gods and Goddesses,,,Earth Gods,
EarthGods,Den Vao,den-vao,,Mythology,published,"Rank: Gods of Doors & Entrances

Den Vao was Door Protectors and Land Gods. Protective spirits, the Den Vao live inside doorways and come out at midnights. Their true forms are similar to thousands of shape shifting little creatures both half dwarf and half gremlin. Sometimes very sneaky and pranksters they were also very loving guardians of families and young children. The only ones to see them are those they protect and magical deities.",Main Universe,Mythology; Gods and Goddesses,,,Earth Gods,
EarthGods,The Dog,the-dog,,Mythology,published,"Rank: Godly Warriors

The Dog is the most powerful deity to the upper North Lostasia and he contains the head of a dog, paws, a tail, and human body. The Dog separated himself early on from other myths because he believed that his importance should stay in secret. His goal is to protect humanity and is consider high priest over all other Earthly warriors and while in the afterlife, spirits of dead warriors slain in battle go to his kingdom, Kinvalla, where they eat and celebrate their deaths for eternity. Here the Dog live in honor and peace, where he also watches over war battles and judge those slain in them. Those worthy enough go to his kingdom to rest in peace for eternity and those not worthy go to his Field of War, Copria, where they train for the Final Battle.",Main Universe,Mythology; Gods and Goddesses,,,Earth Gods,
EarthGods,The Cat,the-cat,,Mythology,published,"Rank: Goddess of Balance & Order

The Cat Goddess of Balance and Order is cat headed and have feline attributes. Opposite to The Dog, she uses her magical powers to keep balance, order, and peace in the world. The stars sit at her footsteps and at the end of her magical halls in her kingdom, Polltotum, lay very giants cats that gave birth to the cosmos and its many wonders. She was worshiped only in Upper Lostasia where she was more powerful of all else and is consider Queen of All Things as for Crienta is celebrated elsewhere. Even though she argued constantly with Dog she created the Field of War for him so that fallen warriors could prepare for the final battle.",Main Universe,Mythology; Gods and Goddesses,,,Earth Gods,
EarthGods,Sayr,sayr,,Mythology,published,"Rank: God of Agriculture & Farming

Sayr the God of Agriculture and Farming. Sayr is product of Sonos and the Nymph, Smu. Whenever he was sad he planted hundreds of fruits and vegetables at a time. His home was the first barn and from clay he made the first sheep, boars, crow, beaver, and owl. He had the lower torso of a chicken and the upper body of a teenage boy. His daughters and often companions are the Dynameids.",Main Universe,Mythology; Gods and Goddesses,,,Earth Gods,
EarthGods,Elexan,elexan,,Mythology,published,"Rank: God of Travel & Roads

Elexan concord of thieves and God of Travel and Roads created the first road and village to help trade secrets back into the rest of the world. Although a trickster and the counterpart to the Norse god Loki he had no decent chain of story. His child was the first thief and the first pirate and like Crochen he had a concord of thieves and pirates who roamed the world searching for priceless items. In the war against Atlantis, Elexan led the war and nearly conquered the island if not for his own greed to still its treasure and technology. This act caused him his life and major damage to Lostasia's eastern and southern coast.",Main Universe,Mythology; Gods and Goddesses,,,Earth Gods,
EarthGods,Smod,smod,,Mythology,published,"Rank: Goddess of Harvest

Smod Goddess of the Harvest is the most beloved Goddess in all of Elitsyian Myths. Because of mankind's love for her she was granted a position with the Royal Circa deities but denied it to remain among mortals. Temples, ritual sites, cities, and festivals were built in her honor. Festivals are thrown in her honor across Lostasia and she attends each and when hearths above fireplaces are lit in her honor she grants the household safety through the night. With her blessings the home is protected from demonic spirits that plague the homes of newborn children.",Main Universe,Mythology; Gods and Goddesses,,,Earth Gods,
EarthGods,Onys,onys,,Mythology,published,"Rank: God of Wine & Festivals

Onys is God of Wine and Festivals and son to Smod, unlike his counterparts from other myths he is very polite but with more than often lazy behavior. In his many forms he took various other acts such as huntsman, Omire God of Hunting and Fishing. In this form he gave the world fish and the sport of hunting, but when he was angered by a tribe he gave the tasty and beautiful fish scales and bones. In his original form he honors his mother by playing instruments at festivals, he is responsible for magical beer that can cause the drinker to become intoxicated. From his sacred garden he mixes grapes and other fruits with water to make his beverages that hes known for. His creations are the grape, beer, wine, and festivals.",Main Universe,Mythology; Gods and Goddesses,,,Earth Gods,
EarthGods,Illara,illara,,Mythology,published,"Rank: Goddess of Hunting, Animals, & Archery

Illara goddess of Hunting, Animals, and Archery is daughter to Omire, but like her father she is only worshiped in Western, Northern, and Central Lostasia. With the absence of hunting in the other parts of Lostasia, the Elitsyians gave her a counterpart and named her Aralli which is Illara backwards. Unlike Illara, Aralli was evil although she protected animals and hunters, she had little to care about anyone else. Illara founded Archery and presented it to the Indians and Aztecs in honor of her husband Well. Together they gave birth to Morch.",Main Universe,Mythology; Gods and Goddesses,,,Earth Gods,
EarthGods,Jakilen,jakilen,,Mythology,published,"Rank: Volcano & Mountain God

Jakilen is the Volcano and Mountain God and eldest son to Siphnu. His older brother is Volkanos in which the word volcano derives from. He is one of avatars to Khani and after Khani being banished to HELL, Jakilen was born from rock and fire to curse the world with erupting mountains. His kinder brother Volkanos hated his brother's temper so much that he sealed him beneath the earth forever. Whenever he sneezes or laughs volcanoes erupts.",Main Universe,Mythology; Gods and Goddesses,,,Earth; Fire Gods,
EarthGods,Xesir,xesir,,Mythology,published,"Rank: God of Construction

Xesir son to Volkanos, he was born of steel and dead skin. Xesir provided the first steel structure and erected the first mountain. His main worship is in Mountainville and is the God of Construction. Golems were his children and gremlins were his guardians all made of rock and crystal.",Main Universe,Mythology; Gods and Goddesses,,,Earth Gods,
EarthGods,Sesir,sesir,,Mythology,published,"Rank: Goddess of Statues

Sesir daughter to Xesir and Frisk. Sesir is Goddess of Statues and would serve later on as mother to other deities such as Tolen and Sole the first shaman. She built the first statues in honor of the gods and erected them high above all else.",Main Universe,Mythology; Gods and Goddesses,,,Earth Gods,
EarthGods,Tolen,tolen,,Mythology,published,"Rank: God of Cities, township, & industries

Tolen god of cities, township, and industries is the proud son to Sesir. Born from her left nipple he is also considered a warrior of the city he is worship, Mountainville. Following in his grandfather's footsteps, Tolen built the first city and town in honor of Xesir. In every new city a pile of rocks were found at the entrance and with this offering, the newborn city will experience long wealth and protection.",Main Universe,Mythology; Gods and Goddesses,,,Earth Gods,
EarthGods,Li,li,,Mythology,published,"Rank: God of Earthquakes

Li is God of Earthquakes and father to the Serpent and Hydra. With his children, Li travels the underworld torturing the living world above. Seen as half bull and half cyclops, Li is very powerful and with the help of his wife, Jegeru they dominate parts of the underworld and occasionally protects the Gates of HELL. His creations are the serpent, hydra, bull, and the Kraken.",Main Universe,Mythology; Gods and Goddesses,,,Earth Gods,
EarthGods,Bornude,bornude,,Mythology,published,"Rank: God of Corn

Bornude god of corn is a minor Earth god that only his protection of corn made him somewhat of a legend in Lostasia. His father is Tur' and his mother is the nymph Kos.",Main Universe,Mythology; Gods and Goddesses,,,Earth Gods,
EarthGods,Nusuwaka,nusuwaka,,Mythology,published,"Rank: Earth Goddess

Nusuwaka originally worshiped as a water goddess because of her association with a magical fountain that from it came the rich honey of the immortals. Found near the sacred garden of Santiyline this deity came along way from a water deity into a mature Earth Goddess. Nusuwaka was born from the waters of the biggest blossom tree in Lostasia. Along with her brother Hoshiume she dances among the gods and grants them with chalices that hold the golden honey.",Main Universe,Mythology; Gods and Goddesses,,,Water Gods; Earth Gods,
EarthGods,Hoshiume,hoshiume,,Mythology,published,"Rank: Earth God

Hoshiume originally worshiped as a water god because of his association with a magical spring and wishing well. From the wishing well was the golden honey which collapsed into the magical spring that flowed quietly into the Sea of Time. Hoshiume gave important notice that he was an Earth God with his contribution of the first well, waterfall, forest, and he created the valley. Molded out of a blossom tree's magical river, Hoshiume was brother to Nusuwaka.",Main Universe,Mythology; Gods and Goddesses,,,Earth Gods,
EarthGods,Red Grape,red-grape,,Mythology,published,"Rank: None

Red Grape was given his name because of his red face and grape shaped head. Worshiped primarily in Western Lostasia and on the Islands of Lostasia where he also was believed to create the islands from the seeds of giant grapes that fell from the Heavens. When the lands became harden, he gave them the first fruit trees and animals to enjoy them. In his sacred garden hidden far away from all else in the now Antarctic Ocean he enjoyed playing an ancient form of soccer and planting.",Main Universe,Mythology; Gods and Goddesses,,,Earth Gods,
EarthGods,White Maiden,white-maiden,,Mythology,published,"Rank: Supreme Goddess

White Maiden was worshiped on the Islands of Lostasia as their sacred supreme goddess. She made men and women and gave them the gift of fire and grew plants for them to eat. Their homes she made straw and stones to protect them from harsh weathers. Although she was always seen happy and very loving, this deity also was associated with war and death. When angered by those who dare hurt animals or her many wonders of nature, she would bring war to their homes or cities. After the death of someone she would carry their souls to a temple where she burned them so they could be reborn. Fires are lit along with burning the bodies of the dead so that those who die could be reborn. Once reborn children are given the names of those once passed away to not just honor them but to give them similar traits that they had. Her real name is unknown but because of drawings on wet sap paper caused her to become the now name White Maiden.",Main Universe,Mythology; Gods and Goddesses,,,Earth Gods,
