source,name,slug,status,location,description
Chapter 12 (Kids Version),Snowball Berry,snowball-berry,published,Downtown Candy Village,A bowling arena for the city of Candy Village. Most of the city’s citizens come to this bowling alley as a pastime.
Chapter 12 (Kids Version),Marshmallow Post,marshmallow-post,published,Surrounds North Candy Village,"Residents: Marshmallow People, Vanilla People, Chocolate People, Ms. Choco Chocolate, Smore Kids, & Marshmallow Man

A giant mountain range found circling Candy Village. It is home to the Marshmallow, Vanilla, and Chocolate People. Marshmallow man is its prime resident."
Chapter 12 (Kids Version),Golden Stone Bridge,golden-stone-bridge,published,"Between Food Town, Candy Village, And Crystal Star Kingdom","A large bridge made of hard honey. It is often sticky unless driven on. It is large and separates into three directions at its center. One side leads to Food Town, Candystone Shortcake, and Crystal Star Kingdom."
Chapter 6 (Places),Lium,lium,published,Above the Solar System,"Also known as: Liumus
Race: Elitshian Gods

Built high above the mortals, this place has hundreds of castles serving as homes to the many gods. In its center is the tower where the most importantly Royal Circa deities meets and command the world. On each four corner of this floating island lie doorways to many places such as the Underworld, Heaven, Earth, and Norgard. Never to receive storms or any kind of diTantirithter this place was protected by the eyebrows of Yonrohs and his blood became the Milky Way and Lium's rivers. It has approximately 50 islands all of which serve many different purposes such as one is the place where the School of Angels is located and can be reaching through magic. Access to this place by others besides immortals, is through Mt. Punukien which was the highest point in Elitshia."
Chapter 6 (Places),Oacklands,oacklands,published,Northeastern Lium,"Race: Elitshian Gods

Lying somewhere in the northeast region of Lium, this place would have waters flowing down to earth, down to Onur, and then turns to fire as it reaches Hell or Belckus. The River of Insanity accompanies by a spirit of the same name was cast of flames and ran from north and west of the Oacklands. Once a beautiful region it would be discarded as evil took control of it."
Chapter 6 (Places),Pond of Innocence,pond-of-innocence,published,Heaven,"Race: Domaedians, Jessana, & Authoria (temporary residents)

More of a relative term for a substance of water that has been blessed by a priest or holy power. The actual pond is located in Heaven. Surrounded by beauty, it remains untouched by all things. Baffling the gods, this beautiful place was mistakenly discovered by Jessana and Authora after building the Spring of Truth in the underworld as its waters ran into the spring. Kept a secret to preserve its mystery, this place is where angels drink from and blesses it as well."
Chapter 6 (Places),Magic Gates,magic-gates,published,Found on different worlds,"Powerful gates that can transports its users almost anywhere that has it’s own gate. The gates were made by ancient mages to travel to other worlds. One was made by the Elitshians using magic they learned from Bewithia when she taught them basic magic. Currently there are over 1,000 gates across 999 worlds. One is in an unknown location that was hidden for strategic purposes."
Chapter 6 (Places),Tenir,tenir,published,Bridge connecting newborns into life,"Race: spirits of the unborn

A bridge that connects life that comes down from the heavens or Norgard to the living. Spirits are carried across in various forms depicting the stages of that person’s life. They would appear blindfolded and if someone would remove their blindfolds before entering the world of the living they would be blind in the living. Over the course of time many immortals and angels stood watch over this place."
Chapter 6 (Places),Arkylente,arkylente,published,Edge of Lium,"A valley created by the gods to house their most sacred food the Golden Honey. The Golden honey could make its drinker immortal as well as the Golden Apples could give great knowledge. A thick illusion of fog and mist protects it from sight, and a wall of black marble rocks erects to protect the sacred lands. A masking veil, Venyur was created by magicians to hide it from those wish it harm. Overtime the veil failed and tourists of all legions would overthrow it. The honey is presented by the Arkylentese' ancient spirits, children to Yonrohs would present the honey every hour to the gods as they lounged and partied. Also found in this valley were the Arch Berries which could give great supernatural abilities, the Magna Trees' bark could make the body invincible. The Dargen Apples were also very sacred as they could grant great speed as well as the Mosten Seeds if planted could raise five trees that could grant up to three wishes per person. Genies are said to come from this tree along with imps who also protects it."
Chapter 6 (Places),Mountains of Caldone,mountains-of-caldone,published,Edge of the Earth,"Race: Jonun, Groners, Caldonians, Ho’zares

A place existing as one of the untouched regions by time. It was the hideaway home for Jonun whenever the deity wanted to disappear from all. Here his children the Groners and himself lived in peace deciding the fates of all living beings. This region was misty and had mountains as tall as the tallest ones here on Earth. It had many torn down cities once told to harbor life. Its people was once the Caldonians the first human race but after they were driven from Earth by the gods they founded this place where they ascended to become the Ho'zares of legend. In return the gods made this their home, but the Ho'zares retaliated destroying them and their new destination. The Ho'zares reverted time and became supreme rulers, they then created Anka, from him Elshack, and from him the Gods."
Chapter 6 (Places),Outer Realm,outer-realm,published,South America,"Race: Magical beings

The Outer Realm is a place of glorious magic. Built by Olerta and Bewithia during the rise of the supernatural phenomenons on Earth to insure a place where all magical and mystical characters can live and roam without interruptions. It is a place that differs in scenary because of the tribe of beings that live there. Over a thousand places have been said to have existed in the Outer Realm and some appeared through this book. Of such was the Black Forest which stood on Earth but its gates were located far south in the Ice Realm. There were also well known realms of the six natural elements. The Fire, Ice, Water, Spirit, Light, and Dark Realm “dark worlds” were all located just on the boundaries of the East, South, North, and West parts of the Outer Realms. Dragons were keepers of many castles and dungeons that lied in Outer Realm. The Mountains of Caldone also existed just north of the Outer Realm. On its East and West sides lied the Earth and the Underworld. Overlooking this magical place were several griffins who took watch since its birth. Gates to this place was protected by demons, angels, and Sholls “Elitshian trolls” and all were neutral in deciding who entered. Once humans traveled to this place by mistake after finding one gate unguarded and from their trip, they wrote stories which some could say made way for current fables and folklore."
Chapter 6 (Places),Xisitira,xisitira,published,unknown,"Race: Xeserians

Considered a mysterious area of the world because takes about 40 years to get to this place from any direction. Living here were the Xeserians, mystical beings who watched over good and evil. From them came the Book of Sanctuary later given to the tribes of Elite Force."
Chapter 6 (Places),Dark Realm,dark-realm,published,Located near Belckus,"Race: evil beings

One of the 14 realms. One of the many realms associated with the Outer Realm. Not much is known about the appearance of this place, but some expect its appearance to be like Hell or at least a fragment of it. Seen from a distance to be surrounded by the Stream of Regret and a force field called the veil of darkness in which someone considered “good” couldn't pass through."
Chapter 6 (Places),Teir,teir,published,through all mirrors or reflective surfaces,"Race: opposite of anything with a reflection in the original Earth

A place like Earth where anything that reflects an image life. Here the opposite of what goes on, on Earth happens. The only physical difference in appearance to Teir is that things appear mostly night here. Those that are good here are bad in our world and vice versa. Things that are dead here are alive in our world and vice versa. Instead of one year here it takes about 6 months for one year to pass. Rather which world would be consider the real original home and which other is a reflection is an interesting debate. Both Teir and Earth were created at the same time by mistake after one of the others “goes unstated which” didn't come out as planned."
Chapter 6 (Places),Onur,onur,published,"Above Hell, below the rest of the Universe","Also known as: Underworld
Race: the dead

Home of the Old Worlders, it is a city in the year 5001 and one of the only cities left in the world. It is located where the current Paris, France is, and it borders Alkanae’ home to the New Worlders. It is one of the main cities in the story Afterworld."
Chapter 6 (Places),Tel,tel,published,West of Lium,"Race: spirits ready to be reincarnated

A bright domain located farthest west of Lium. Here souls of the most beloved lives in peace, however souls are sent here in hopes of reincarnation to rejoin their love ones. In this place the souls go on various tasks to try and get their lives back.  Those who died a wrongful death come here. This place is guided and guarded by ancient spirits."
Chapter 6 (Places),Often Springs,often-springs,published,Located at the center of the world,"Race: Home of the Sun & Moon gods

Located near the center of the planet. Hidden from sight, the Often Springs is where Ohn, Sun God and his sister Seltice, the moon goddess, takes the sun and moon every day and night. Here lies an ocean where the sun is put to rest and from the steam here lies the night air and cool breeze. Also from this comes mist and fog. The moon is hidden in the mountains where its rays can be seen from Earth as the Aurora Borelias. When the rays are not seen on Earth it’s because the moon is asleep a time which is most often."
Chapter 6 (Places),Olvulga,olvulga,published,Located in the year 5001 in current New York City,"Race: Vulgists

A large city of a wide range of technology such as teleportation machines replacing public transportation. It was the first city in the world to replace modern transportation with teleportation technology."
Chapter 6 (Places),Orcross,orcross,published,In between Life and Death,"Race: the dead

This place exists somewhere before the dead gets to Eternity, it lies anywhere near Oblivion, Onur, Heaven, far from Hell, and close to the lands of the living. It is a foggy place with walls erected high in the distance showing cities of mysterious origins and residency. Orcross wasn’t created yet it appeared after Eternity was formed by Olerta. How it appeared is still a mystery to the gods including Olerta who created most places in the afterlife including the thought of Hell during the fall of Santaniel. This place is a holding place for all souls that are waiting for their judgement into Heaven or Hell. Although many only remain here for mere seconds it can feel like a hundred years if the person is aware of their existence here. Most however are lucky enough to not be aware and leaves only moments of appearing. Teleportation often come here by mistake when the teleporter is inexperience because of its direct connection to the land of the living. Most psychics can reach this place mentally contacting the dead if the dead barely died."
Chapter 6 (Places),Helliholm,helliholm,published,Above Heaven,"Race: Anka

The highest place of existence. Nothing exists above or around it. It houses Anka in his ever-growing domain. Here all things were created and where all things end. Anka being the primordial force that created GOD and one day will take back his creation to create another GOD at the end of all things. It is said that Anka himself created this place to make sure nothing can find him nor see him although Azazel through unknown means was able to come here. With many believing that either Azazel was once a GOD or possibly the child of Anka or to become the new GOD. The chamber which Anka resides is known as Kendole."
Chapter 6 (Places),The Frefrenick,the-frefrenick,published,Located at the center of the Eternity,"A hallway which opens into a circle room, in this room lays the gates to Heaven, Hell, Onur, Lium, Norgard, Oblivion, and Earth. Voices direct and try to trick anyone that enters this place. Entering the wrong door could trap someone forever in eternal damnation."
Chapter 6 (Places),Oblivion,oblivion,published,Edge of the Universe,"Race: Deceased immortal beings & deceased beings from Heaven & Hell

A place a vast as the underworld, it is covered in mist and takes its image from the darkness that exists in it. Dead trees, restless souls, and no way out. Oblivion is a place where no one could return. Believed to have been created or at least founded by Olerta, this place has to way in unless someone is banished here by a powerful force. It is a massive place found within Eternity serving as its underworld for immortals who became deceased."
Chapter 6 (Places),The River Watch,the-river-watch,published,Runs through Oblivion,"A river that runs quietly throughout south Oblivion. Here the souls of Oblivion eat and drinks, the food that is found near this river and the water that comes from it both erases the memory and history of those that drink and eat them."
Chapter 6 (Places),Island of the Seefors,island-of-the-seefors,published,the Pacific Ocean,"Race: Seefors

Found somewhere far in the Pacific Ocean, this small island, is similar in look to both Ancient Greece and Elitshia with its towers and Pathenon like structures. It is home to the Queen of the Seefors and the thousands of siren like creatures. It has since been destroyed and its past can be reached through a spell where the city now only exists. The island is protected by a giant clam like shield with a globe like structure erected around it to protect its residences."
Chapter 6 (Places),Mirror World,mirror-world,published,Opposite of Everything,"Also known as: Ashkaloom
Race: Everything’s opposites

The exact opposite of the normal world, Ashkaloom shows its difference normally because it has two suns and three moons. The world and universe is one of billions that exist in the Eliteverse and is often the home of the evil and jokster beasts the Mirror Giest."
Chapter 6 (Places),Prison X,prison-x,published,Onegalus,"Race: Prisons from around the Universe

A prison located in the Onegalus, it is of massive size and is magically enhanced with advance technology and was created by a group of Descendants, human scientists, Domaedians, and some Belki as an ultimate prison to trap the universe’s most dominate prisoners. Often when imprisoned here, the prisoner undergoes many tasks such as purification, memory wiping, and various tasks to turn their behaviors. The prison grows larger with the welcoming of more prisoners. At the center hall, are doorways to various places including Oblivion for the worse of the worse criminals and portals to different worlds, however only passwords and/or keycards can open these portals."
Chapter 6 (Places),Onegalus,onegalus,published,Alternate Universe,"A parallel universe with no inhabitants, its gravitational pull is the reason behind its lack of residency. It is located somewhere on the other side of time from our own universe and it is located far from simple traveling reaches. It contains air that is breathable and dark cloud like substances that if touch can be lethal to any known race. Many prisoners are trapped here in Prison X located somewhere in the northern portion of this universe. Onegalus has a negative effect on all outsiders and can only be reached through portals found through warp streams across the universe."
Chapter 6 (Places),Mountains of Indomnia,mountains-of-indomnia,published,Eastern edge of Elitsyia,"Race: Indomnians (before the city of Indomnia was destroyed)

A vast mountain range found on the eastern border of Elitsyia. The tip of the mountains appeared as golden dust while the base was white. At its center used to be Indomnia which turned into ruins. The range existed long after the city. Some believed that the mountains once were the gates to the afterlife and that the people that once lived there were the dead brought back to life to live in the city."
Chapter 6 (Places),Indomnia,indomnia,published,Center of the mountains of Indomnia,"Race: Indomnians

In ancient times it was believed that while on Earth the god Montum created a beautiful place he could call his own personal paradise. The place was depicted as a massive land surrounded by giant walls. Statues sit at the corners of the city with large trees lining up the main road into the city. The homes and buildings were made of rock and glass like stone. The people were some of the world’s first prophets known as Indomnians or simply Domnia. Over time the city was populated by individuals whom most of the world thought was dead. The place had an effect and from its soil came magical pearl like structures that brought the dead back to life without any of its circumstances and effects. The pearls were destroyed when the city was raided and destroyed. All that was left was decayed buildings and mountains. The Domnia remained while a few of the inhabitants returned to the afterlife."
Chapter 6 (Places),River of Torment,river-of-torment,published,running through Onur,"Found in the underworld, this region filled with conflicted souls of the deceased was near the edge of the underworld. Here the Springs of Eternal Damnation flowed into. All of mankind's dark emotions would flow into this ocean and so would the rivers of the underworld."
Chapter 6 (Places),River of Onur,river-of-onur,published,running through Onur,"There were literally hundreds of rivers found in the underworld. All were guarded and token care of by spirits. Most of their names were just derived from the many human emotions that we suffers in life. Most leaks onto the world and from them we bathe or drink from giving us such emotions and others are in secret found only in the underworld. The River of Pain and Grief were two of the most popular ones with the River of Suicide Victims and the River of Anger were others. Each sin had their own river along with zodiacs of western mythology. Sorrow, Sadness, Depression, Disease, Doubt, Suffering, Murder, Hate, Force, Adultery, War, Famine, Death, and Strife all were rivers as well. Each river connected at some point into the Ocean of Torment. Some of the lighter emotions like the River of Tears and the River of Desire flowed into the banks of the Spring of Truth. The Spring of Truth was a big spring that flowed from the Heavens, its waters could get anyone to tell the truth and with it the gods and spirits used it to bless objects such as steel and used them against forces like demons. From the Spring of Truth is considered holy water as it can repel evil spirits and demonic entities. Khani was thrown into this spring to save the world. From his rotting corpse and his blood became the new fears of the new world this time without the influence of the gods. At one point in history the many fears and emotions of the world were sealed away in a box which was in return hidden into the Ocean of Torment for safe keeping. But one day someone found it and opened it and flowed free the emotions and fears into the rivers of the world."
Chapter 6 (Places),Spring of Damnatian,spring-of-damnatian,published,River of Torment,"Some stories believe that this spring could grant those to enters its waters with the power to speak to the dead and to come back from death. The fountain appears silver with water that flows gently to the dead and loudly to the undead. If drunken the water could instantly kill or appear as acid. The spring was once a present of the gods to one of the most beloved queens who have died and once lived in the underworld where the spring now sits.

Another myth surrounds the spring that it can provide the drinker or anyone who touches its waters eternal pain and suffering. Which is one of the reasons why the spring has been hunted by both the dead and the living for centuries."
Chapter 6 (Places),Time Gate,time-gate,published,Far north of Andvom,"Race: Shecknurd, Kain, Spirits of Time, & Cosmic Soldier of the Milky Way

During the only part of the Universe where time stands still, exist a place of complete silence where The Cosmic Soldier of the Milky Way, several Spirits of Time, and sometimes Shecknurd & Kain watches over all time. This place is considered a floating island with five giant gates. Each gate represents something in time, Past, Present, Future, Alternative Timeline, & Moments that should have happened but didn’t. Severael powerful Belki tried to come through these gates so that they could reinvent the past. They however were stopped by Kain while unleashing the ultimate power of his time abilities."
Chapter 6 (Places),The Sky Realm,the-sky-realm,published,Floating above Earth,"Race: Adv & Sky Deities

Home to all sky deities, this place was so beautiful that it was on constant watch by its creator, Adv. One of its most important halls was the Watch Room where the world is on constant watch by the Sky deities. Another famous hall is where Ohn and Night both takes the sun and moon into and from here, they take them from for their journeys across the skies. The Hall of the East and North winds is found on the East side of the Castle. The Hall of the West and South winds are located toward the West side of the castle. Another important room would have to be the Sky Room where the Elitshians believed that the sky rested and was being held up by the many avatars of Khani for punishment of trying to overthrow the gods. Both Adv and her children all can be seen drawn on walls holding up this castle above the Earth's skies."
Chapter 6 (Places),Andvom,andvom,published,"Center of Heaven, Hell, & Earth","Race: Shecknurd & Spirits of Time

Seen from the distance as a group of stars circling a long hall with no end. Andvom is a wide place with one center room. In this room the giant book of all things is placed and in it lays the records of all actions taken by all things. There are about 5 halls which connect to this giant room. One hall the spirits of time roams and here they each watch over a moment in history, also their purposes are protecting everyone, inanimate object, dead and living things, and immortals. Two halls exist on the South and North halls, in the South halls the past is recorded and in the North halls the future is recorded. In the fourth hall lies the home to Shecknurd and on occasions the meeting room of himself and Authora. The final and fifth hall lays all the secrets and lost things throughout time. In the 5th hall lies a doorway to the Underworld, Dreomede, the Heavens, Earth, and Norgard."
Chapter 6 (Places),Dimension Crest,dimension-crest,published,Between all dimensions,"Race: None

A hidden dimension that was created long ago to serve as a place between every dimension in existence including those that are also hidden by other means. It is usually housed by the powerful being named Dimension Master."
Chapter 6 (Places),Grandoff,grandoff,published,Next to Heaven on the east,"Race: Sasasian & Tolnick

The home of all magic, it housed all magic before Eve manage to tap into its place and release magic to the rest of the world. Over time magic flowed from the Earth contacting other worlds including the gods. Bewithia manage to use this power to become the first witch and practitioner of magic."
Chapter 6 (Places),Purnog,purnog,published,Triangle of Tantirith,"Race: Various

Similar to its sister schools, Purnog is a place to further the education of a magical entity where normal school wouldn’t be a fitting place for it. Purnog differs as it is a place for more creature like entities to go to school including magical beasts and many of the magical creatures of Aurelia. Although, its residency is limited as most creatures prefer to live in their native habitats. They can easily go to the school at any time through the use of magical amulets provided to each student and faculty at the beginning of the school year."
Chapter 6 (Places),Nature Key,nature-key,published,edge of Dimension Crest,"Race: None

Nature key is a resort town for magical beings in Tier, it has one of the largest areas for young children to use their magical aloud without precautions. It is a massive place expanding across numerous dimensional barriers and containing every known theme park ride imaginable including a place to play with imaginary friends from Dreomede. Its southern banks contain the Fountains of Dreams where its local spa is. Its north contains the River of Flakes where one could speak to the dead and hear their stories. While the east and west contains places for over 2 million theme park and water rides. Its center is a large park with carnival rides that are inspired by nearly all human theme park rides that have ever existed."
Chapter 6 (Places),Tantirith,tantirith,published,Tier (part of the Triangle of Knowledge with Purnog and Hizirinth),"Race: Magical Beings of all kinds

A mutual place that was founded by five powerful magical beings of their times. It houses nearly 10,000 students a year with nearly all 10,000 having magical powers since birth. The school is located on a large mountain surrounded by dense fog, high ridges, large dragons, and sea creatures. It serves as the Triangle of Knowledge with Purnog and Hizirinth and houses many ghosts, magical creatures, beasts, and magical people and things.

The five main halls for students are:
• Chapter of Drake
• Chapter of Eyis
• Chapter of Oceen
• Chapter of Shade
• Chapter of Thorns

Each representing the five leaders in their respected magical communities upon finding the school and sharing their magical history with that respective hall. Images of thousands of magical beings are found throughout the halls and beasts of all kind are seen on the school grounds. Because of a joint magical venture, no lethal harm can be done to anyone on school grounds. This is also a problem as evil beings cannot be lethally harmed unless the barrier around the school is lifted."
Chapter 6 (Places),Hizirinth,hizirinth,published,Tier (part of the Triangle of Knowledge with Tantirith and Purnog),"Race: Magical beings mostly of dark origins

A school known mostly for its deceptive tactics against competing schools and training of black magic for use in evil situations. The school has been awarded honor of truth for the fact that it has been upfront and honest about its status since conception. It has been modeled after Tantirith and houses many halls similar to those found in competing schools. It has many subjects similar to normal schools like Math, Languages, and Science while obtaining many subjects like Lethal Magic, Deadly Spells, and Forgotten Languages 101."
Chapter 6 (Places),Corridor of Bain,corridor-of-bain,published,,
Chapter 6 (Places),Corridor of Strife,corridor-of-strife,published,,
Chapter 6 (Places),Corridor of Night,corridor-of-night,published,,
Chapter 6 (Places),Corridor of Change,corridor-of-change,published,,
Chapter 6 (Places),Corridor of Bloodspell,corridor-of-bloodspell,published,,Each representing an evil magical being that helped build the school in response toward the five creators that helped build Tantirith. It is believed that the Corridor of Night is created by the same being that created the Chapter of Shade at Tantirith.
Chapter 6 (Places),Sea of Life,sea-of-life,published,Near the Ocean of Existence,"Race: Gagiel & Leviathans

A sparkling ocean that can be seen from all directions in Heaven. It contains the massive sea creatures of Heaven, the Leviathans. Gagiel lives here where he keeps them at bay and walks around the sea in an attempt to keep it calm and from over flowing. This will happen at the end of all things and Heaven will be flooded."
Chapter 6 (Places),Heaven’s Ocean,heavens-ocean,published,Edge of Heaven,"Race: None

A massive ocean that could gulf the entire milky way inside of it three times. It is located on the Eastern side of Heaven and has the most beautiful waters compared to anywhere. It serves as the gateway to the Afterlife and no one has ever fully crossed it. On its other sides are the cities of Heaven, the Throne of GOD, and the Gates of Heaven."
Chapter 6 (Places),Elreus,elreus,published,Elrian Ocean,"Race: Elreuns

The largest continent on Tier, it is home to many wildlife and magical creatures. Its many states and cities practice both wild magic and creature magic. It is also home to the Black Forest at it’s center."
Chapter 6 (Places),Belkine,belkine,published,Elreus,"Race: Belkians

Home to those whom worship the legend of Belckus and his children the Belki. They usually are covered in markings and practices a range of shadow magic. Belkine is also the home to the largest number of Blood Witches supporters. Because of its actions, it often compared to Russia on Earth and is carefully watched by the High Council."
Chapter 6 (Places),United Realms of Tier,united-realms-of-tier,published,Moon Ocean,"Race: Tierians

A large continent that sits in the center of Moon Ocean. When parts of the Tierian Moon Oka broke off and fell to Tier in ancient times, it became the United Realms of Tier or URT. It is home to millions of mages, thousands of cities, and 60 union states."
Chapter 6 (Places),Rarcoth,rarcoth,published,United Realms of Tier,"Race: Tierians

Rarcoth is one of the most popular cities located in Tier. It the place where many young mages go to explore their first experience in the big city. It has tall buildings and is the birth place of magical technology within the magical community."
Chapter 6 (Places),Land of Time,land-of-time,published,Arcota’s home,"Race: Arcota

Located in a mysterious place hidden by powerful and ancient magic. This place holds the records of time, both past and present and at its entrance are found the Pillars of Time."
Chapter 6 (Places),Anura,anura,published,Somewhere in the Indian Ocean,"Race: Descendants
Note: School of Angels

Also known as the School of Angels, Anura was first created by the Domaedians in hopes to house future beings which sought protection and teaching from the outside world. Found on a mountain cliff overlooking most of the world, only flying and/or boats can reach this location. The entire location is protected by a vail of light and only Descendants and Domaedians can cross through it. Anura has had over 200 different headmasters and currently is ran by Miada with over 10,000 students and over 4,000 staff members both human and Descendants. The school has over 20 million rooms and is surrounded by a massive forest and rivers. The actual building itself is alive and its heart is buried over 5,000 miles beneath its surface, it’s said that the heart of the building contains powerful Domaedian energy and is sought out by many beings. The core as its called is protected by 7 powerful seraphs that sleep until someone enters the chambers. So far no one has entered the chambers as it’s hidden from all including the headmasters. Over 16 courses are taught at the school including basic courses like English, History, Math, Science, and Health. Larger than any known school on Earth, it is said that this school grows in size every time a new Abnormal is born to accommodate the future possible student."
Chapter 6 (Places),Coldren,coldren,published,Earth 716,"Race: None

A place where important figures gather from across the various realms to discuss matters that pertain to their protection and outside threats. Every major council that sits at the top of their respective races, have their own hall here to discuss matters important to their respective races. It is located in a center place between the multiverse within the Realm of Living. Its exact location is a mystery to all except Olerta. Everyone else appears here through the use of powerful magic."
