source,name,slug,status,type,description
Chapter 10 (Dictionary),Magical Tomes,magical-tomes,published,definition,"Powerful items created for various purposes including enclosing magic into objects. Every mage has a totem including spell books for spellcasters, wands for wizards, magical staffs for sorcerers, etc. Totems are created when the mage comes of age and are an extension of the particular mage’s magical essence."
Chapter 10 (Dictionary),Seven Totems of the Domi,seven-totems-of-the-domi,published,definition,Seven powerful items crafted by the Domi Mages to contain the magic that flowed throughout the Magical Community. One of these totems is the Book of Sanctuary held by the Lazarons.
Chapter 10 (Dictionary),Guides,guides,published,definition,High ranking Aurelians that appears not to age however many of them are usually hundreds to thousands of years old. They are guides and leaders of Guardians and Destroyers and in order to ascend from their current lives they must help their chosen protectors complete their require tasks.
Chapter 10 (Dictionary),Spell Creature,spell-creature,published,definition,"Another term for the creatures found throughout Aurelia. They are bound by the lands of Aurelia thanks to the spell from the Domi Mages. However, many including Monster Gods and highly evolved creatures can transcend space and even time to cross dimensions. Some creatures can evolve into numerous levels with a rare few that can ascend to Godly level. A select few can merge with their partners usually Aurelian or human partners through special bonds, while others can use technology to advance their own abilities and forms. Some can use magic to enhance their status and become special forms. Spell Creatures each can connect to an Armor Spell Card to become a special armored version of themselves, usually represented with armor on their normal forms with the word “armor” in front of their names. Spell Creatures can also speak with a few unable to form words so they just speak in variations like only repeating their names or making sounds similar to animals of which they resemble."
Chapter 10 (Dictionary),Aqua,aqua,published,definition,"This type usually live in the water, however some creatures live above grounds. Members of this type usually have fish like qualities and can control the substances of water."
Chapter 10 (Dictionary),Pyro,pyro,published,definition,This type usually lives in hot or warm climates with little exception. Creatures of this type have small portions of fire related appearances either with flames or hot like bodies and can control the substance of fire & temperatures around them. Rarely this type can control smoke or gases around them.
Chapter 10 (Dictionary),Aqua,aqua-dictionary,published,definition,"This type usually live in the water, however some creatures live above grounds. Members of this type usually have fish like qualities and can control the substances of water."
Chapter 10 (Dictionary),GEO,geo,published,definition,This type of creatures can control the earth beneath them. They usually have rock like bodies and usually are brute creatures that have hard exteriors. Most creatures live in rocky areas like caves & mountains.
Chapter 10 (Dictionary),Aero,aero,published,definition,"Most creatures of this type can control the air, some can admit storms, others can just fly and use wind like attacks. Most creatures of this type are known to fly white others float on objects or control the weather."
Chapter 10 (Dictionary),GEO,geo-dictionary,published,definition,This type of creatures can control the earth beneath them. They usually have rock like bodies and usually are brute creatures that have hard exteriors. Most creatures live in rocky areas like caves & mountains.
Chapter 10 (Dictionary),Metal,metal,published,definition,"Creatures of this type are usually steel or metal skinned creatures, while others can control computers & appears mechanical."
Chapter 10 (Dictionary),Leaf,leaf,published,definition,This type is known to be the friendliest of other creatures because of their links to nature. Most creatures are in tuned with nature and possess abilities to control nature like trees and even nearby water.
Chapter 10 (Dictionary),Metal,metal-dictionary,published,definition,"Creatures of this type are usually steel or metal skinned creatures, while others can control computers & appears mechanical."
Chapter 10 (Dictionary),Shock,shock,published,definition,This type a thousand years ago was the most feared of all types because of its wrathful attacks. Some believe this type to be descendants of the original Aero types because of their weather like attacks. Most creatures have symbols of thunderbolts around their bodies and can control electricity & thunder like attacks.
Chapter 10 (Dictionary),Elemental,elemental,published,definition,"One of the most powerful types, this type of creatures is known to be able to control Water, Earth, Fire, Wind, Weather, Metal, and surrounding nature. The very first creature in existence was this type and laid eggs that were the first Aqua, Pyro, Geo, Metal, and Leaf, Aero, & Beast types."
Chapter 10 (Dictionary),Shock,shock-dictionary,published,definition,This type a thousand years ago was the most feared of all types because of its wrathful attacks. Some believe this type to be descendants of the original Aero types because of their weather like attacks. Most creatures have symbols of thunderbolts around their bodies and can control electricity & thunder like attacks.
Chapter 10 (Dictionary),Vermin,vermin,published,definition,"Often called children of the Leaf types, these creatures are mostly bug related and often have acid like attacks. Mostly they live in nature while others are known to live in rocky terrains."
Chapter 10 (Dictionary),Frozen,frozen,published,definition,These creatures are often considered a mixture between Aqua & Geo type because of their often water and rock based attacks. Most creatures of this type can learn their parenting types and lives somewhere where its mostly cold climate.
Chapter 10 (Dictionary),Vermin,vermin-dictionary,published,definition,"Often called children of the Leaf types, these creatures are mostly bug related and often have acid like attacks. Mostly they live in nature while others are known to live in rocky terrains."
Chapter 10 (Dictionary),Light,light,published,definition,These creatures are one of the most powerful beings on the planets. They contain abilities sent from Heaven and are often considered to be angelic species instead of actual creatures. Most of their attacks are light based and are rarely seen using other type of attacks.
Chapter 10 (Dictionary),Shadow,shadow,published,definition,
Chapter 10 (Dictionary),Often,often,published,definition,"The opposite of Light Types, these creatures are mostly ill tempered and most of them lives amongst the shadows or in the Dark Worlds which appear opposite to Aurelia. Most creatures that ascended in this type go to Hell and serve under Lord Behemoth the most powerful of Shadow Types."
Chapter 10 (Dictionary),Light,light-dictionary,published,definition,These creatures are one of the most powerful beings on the planets. They contain abilities sent from Heaven and are often considered to be angelic species instead of actual creatures. Most of their attacks are light based and are rarely seen using other type of attacks.
Chapter 10 (Dictionary),Prehistoric,prehistoric,published,definition,"Ancient creatures that resemble dinosaurs and sometimes actual animals with little similarities to other monsters. These type creatures are rare in Aurelia and often are found in the Ancient Realms which hovers above Aurelia. These creatures can learn various of other attacks such as Pyro, Aqua, Geo, and Leaf based."
Chapter 10 (Dictionary),Beast,beast,published,definition,"Mostly resembling animals, Beast Types are known for their brute attacks and often monstrous nature. This type often uses physical attacks and is some of the most predatorily of all other types."
Chapter 10 (Dictionary),Prehistoric,prehistoric-dictionary,published,definition,"Ancient creatures that resemble dinosaurs and sometimes actual animals with little similarities to other monsters. These type creatures are rare in Aurelia and often are found in the Ancient Realms which hovers above Aurelia. These creatures can learn various of other attacks such as Pyro, Aqua, Geo, and Leaf based."
Chapter 10 (Dictionary),Spirit,spirit,published,definition,"This type is the most feared and are rarely seen in this realm. These creatures if appearing in this realm appears mostly skeleton, ghostly, or transparent while in their own realm appears as they once did while alive. All creatures who dies becomes a Death type with their original types as a secondary type."
Chapter 10 (Dictionary),Soldier,soldier,published,definition,"Soldier Types are powerful creatures that mostly resemble humans. They are mostly elfish beings with body armor and mostly seen with weapons. Often considered Aurelians with magical abilities, they are actually creatures who over time have learned to change their images to match those they protect. Most attacks are physical."
Chapter 10 (Dictionary),Spirit,spirit-dictionary,published,definition,"This type is the most feared and are rarely seen in this realm. These creatures if appearing in this realm appears mostly skeleton, ghostly, or transparent while in their own realm appears as they once did while alive. All creatures who dies becomes a Death type with their original types as a secondary type."
Chapter 10 (Dictionary),Spell,spell,published,definition,"Spell types are one of the most powerful beings in all existences. They can easily travel through realms, summon powerful spells, and project their thoughts into reality. They are rarely captured like their peers and often act as their own partners."
Chapter 10 (Dictionary),Mind,mind,published,definition,Creatures with the most powerful mental stats. These types are often the most sought out of all types because of their rare abilities. Unlike most other types most creatures who have secondary abilities of a Mind type often can’t learn all Mind type attacks like Telepathy and Telekinesis.
Chapter 10 (Dictionary),Magic,magic-dictionary,published,definition,"Spell types are one of the most powerful beings in all existences. They can easily travel through realms, summon powerful spells, and project their thoughts into reality. They are rarely captured like their peers and often act as their own partners."
Chapter 10 (Dictionary),Bio-Hybrid,bio-hybrid,published,definition,Powerful Bio-hybrid creatures that exists in the distant future. Most to all creatures of this species aren’t found in the present unless arriving through a vortex that can travel through time like the ones listed. It is stated that there are over 153 creatures that exist of this type with only 8 appearing so far.
Chapter 10 (Dictionary),Time,time,published,definition,Powerful creatures that can control various portions of time. They wield special abilities that can protect them from mind control and from magic.
Chapter 10 (Dictionary),TOY,toy,published,definition,Creatures constructed through various methods with the most common being magic and technology. These creatures could be of various sizes and usually have physical attacks.
Chapter 10 (Dictionary),Monster Gods,monster-gods,published,definition,"Powerful deities that resides at the highest of various points throughout Aurelia. They are considered gods because of their advance levels, skills, knowledge, and they usually are immune from various abilities. They are known to be immortal, legendary status, and to possess no weaknesses."
Chapter 10 (Dictionary),Aura Beasts,aura-beasts,published,definition,"Mirror like creatures that are direct opposites of the creatures and gods found in Aurealia. Markings around their bodies showcase their inner aura and when touch, it could release great power. Unlike their Aurelian counterparts, these creatures are only able to be caught by those also from their world, Aru. Each creature has a different marking around their bodies symbolizing the date of their birth as each creature was believed to have been born/created at separate times."
Chapter 10 (Dictionary),Night,night,published,definition,"Creatures of the night, this type’s abilities manifest mostly in the absence of the sun however can be used in daylight with little effect."
Chapter 10 (Dictionary),Day,day,published,definition,"Creatures of the daytime, although their abilities to redirect sunlight and to some extent use light-based attacks. This type is associated with the ancient Sun Gods and how its power comes directly from the sun, thus making them stronger in the daytime as oppose to nighttime."
Chapter 10 (Dictionary),Aura Beasts,aura-beasts-dictionary,published,definition,"Appearing like reflections of normal Spell Creatures, Aura Beasts are glowing creatures with markings representing their alternative world. When Aurelia was created, numerous particles formed from its creation and formed a mirror world where the god, Tonik rules. He has turned this world into a place of war and anger with little to desire. However, not all lifeforms here are evil and most creatures are direct counterparts to their respective forms in Aurelia. So if a creature is good in Aurelia then they are evil in the Aura realm, likewise the other way around."
Chapter 10 (Dictionary),Destroyers,destroyers,published,definition,"Aurelians who like Guardians are often very skilled with vast magical abilities and knowledge. Opposites of Guardians, Destroyers are often considered children of black magic and can (for the most part) control the negative energy around them. Most content speak of Destroyers being more powerful in magic than their counterparts because of their carelessness of using magic to its extent."
Chapter 10 (Dictionary),Guardians,guardians,published,definition,Aurelians with vast magical abilities and knowledge. They are often considered powerful entities which existed throughout time as protectors of the Royal Family and later all of Aurelia. Their abilities get stronger by each generation and are often teenagers whose destinies aren’t completed until the world is saved from their destined villain.
Chapter 10 (Dictionary),Battlers,battlers,published,definition,Aurelians with limited magical abilities that are used to travel Aurelia in hopes of becoming stronger often sought out by battling and through special events to show their competitive natures. Most Battlers are often considered young Wizards however few can perform magic outside of their Spell Cards and Seals.
Chapter 10 (Dictionary),Aurelians,aurelians,published,definition,"Elf people of Aurelia, often with similar appearances of humans however with a wider range of intelligence. They are often considered the ancestors of humanity and are considered grandparents on Earth in some tribes."
Chapter 10 (Dictionary),Grand Scheme,grand-scheme,published,definition,The large overlapping multiverse that combines several separate multiverses together through a grid of energy.
Chapter 10 (Dictionary),The Grand Design,the-grand-design,published,definition,"A law or practice that everything must have a purpose and balance. If this balance and/or purpose is disturbed then both the forces of Fate, Good, and Evil will align to defeat the thing or person that disturbed the Grand Design. This law was created by The Neither."
Chapter 10 (Dictionary),Universal Energy Grid,universal-energy-grid,published,definition,"Note: UEG

Is a grid that flows through the multiverse connected every universe together. Every universe within the Grand Scheme is connected, with beliefs that it extends throughout the Omniverse. This flow of energy allows everything to exists on the same parallel timeline. If the Universal Energy Grid is disturbed, then it could cause the multiverse to start to fall apart. One of the attempts by the Akuma and its children were to destroy the grid."
Chapter 10 (Dictionary),The Veil,the-veil,published,definition,"A massively thin shroud that separates the supernatural worlds from the world of mortals. It can only be seen by certain individuals. When the Akuma began eating away at the cosmos at the end of Chapter 1, the Veil began to break apart causing humans to see and interact with the supernatural world for the first time."
Chapter 10 (Dictionary),Avatars,avatars,published,definition,"Are spiritual forms that can also be physical beings with similar patterns, personalities, appearances, and emotional features as the original being that created them. Often powerful beings create avatars to exist and/or carry out a goal beyond their physical lifespan. All three of the creational trio Chaos, GOD, and The Neither have avatars that took on their own personalities, actions, directives, and abilities. Lesser gods like Khani are known for their powerful and sometimes destructive avatars appearing throughout history."
Chapter 10 (Dictionary),Hunters,hunters,published,definition,"Humanoid soldiers that are immune to magic and possesses a level of physical abilities. Abilities range from heightened senses, longevity, enhanced strength, speed, and many like Slayers can learn almost any physical activity."
Chapter 10 (Dictionary),Hunters,hunters-dictionary,published,definition,The primary race of humanoid soldiers that are descendants from the original hunter.
Chapter 10 (Dictionary),Dragon Warriors,dragon-warriors,published,definition,Hunters who have dragon blood in their veins allowing them to grow dragon wings and breathe fire.
Chapter 10 (Dictionary),Slayers,slayers,published,definition,Powerful soldiers that appear only one at a time in a generation and have all the abilities of a hunter including sensing where vampires are located.
Chapter 10 (Dictionary),Werewolf Hunters,werewolf-hunters,published,definition,"Like Slayers, are powerful soldiers that appears only one at a time in a generation and appears with abilities of the hunter including enhanced senses of where werewolves are located."
Chapter 10 (Dictionary),Ghosthunters,ghosthunters,published,definition,"Half hunters, half humans that possesses the abilities to capture ghosts and spirits. They can also enter the afterlife."
Chapter 10 (Dictionary),Mirror Cops,mirror-cops,published,definition,Glass like soldiers from the Mirror Realm that are slow but has enhanced strength.
Chapter 10 (Dictionary),Vengers,vengers,published,definition,Possessing super speed and quick senses. They are quick to think and appear almost like creatures of the shadows. They also are capable of hearing and speaking to shadows.
Chapter 10 (Dictionary),Grand Thought,grand-thought,published,definition,"A term resulting from the unspeakable but understood form of communication from Elshack. Only the Neither can understand this, and it uses this form of communication to record all things mentioned from Elshack. These thoughts are recorded in a tome existing somewhere in the realm Eternity. Metatron provides the words of GOD in the form of the Grand Thought and has filled thousands of stone tablets with these words and placed them across time. Jesus also spoke the Grand Thought from GOD during his time on Earth. Psychics also have some connection to the Grand Thought although only through various versions of visions and touch."
Chapter 10 (Dictionary),Personification,personification,published,definition,"A powerful form of connecting, linking, and distributing one’s status, form, name, person, and power to something else. For instance, a god could personify themselves to an object, feeling, time, etc. to exist forever if that thing exists. This was mentioned when Shecknurd mentioned how he could not die until Time itself was gone. Jessana also mentioned how she survived Mostibik was because she cannot die if there is love on Earth. Some personifications happen almost immediately upon clarifying them and others may take varying times. Also, it’s worth mentioned that Personification has no set limit, it can be limited to one place or all things."
Chapter 10 (Dictionary),Ascension and Descension,ascension-and-descension,published,definition,Ascension is one being meets the qualification to become a higher being. Descension is the opposite where a being can be demoted for failing a particular reason or law.
Chapter 10 (Dictionary),Example is,example-is,published,definition,"Humans can ascend to become angels if their hearts are pure, or descend to become demons if their hearts are filled with distrust, hate, anger, etc.

Powerful gods like Shecknurd can ascend to Primordial One status once they have served their post for a set amount of time, same for Olerta and Jonun. Thus, the reason for Kain Lazaron taking over Shecknurd’s place as the new God of Time.

GOD, the Neither, or CHAOS could ascend to become the new First Light or Elshack once they are the last of the Creation Trio. This was mentioned briefly by Chaos upon its return to battle and defeat its siblings."
Chapter 10 (Dictionary),Magical Currency,magical-currency,published,definition,"Note: MC

Usable currency used throughout the Magical Communities. Magical Currencies are determined by how powerful the individual containing the currency is. For example, a mage that is very powerful could have millions or billions worth of MC because of how strong they are. For children or lower ranked mages, their currencies could be as low as a few MCs to a few thousand MCs. Currencies are used to purchase many magical items, showcase wealth, buy properties, etc like mortal currency."
Chapter 10 (Dictionary),1 Micro MC,1-micro-mc,published,definition,1 penny
Chapter 10 (Dictionary),1 Mc,1-mc,published,definition,$1
Chapter 10 (Dictionary),5 Mc,5-mc,published,definition,$5
Chapter 10 (Dictionary),Mage Guards,mage-guards,published,definition,"Protective armor that can appear as the mage wishes. Like a Mages’ totem, these garments can protect the wearer against almost all human created weapons and basic magic."
Chapter 10 (Dictionary),Dimensional Travelers,dimensional-travelers,published,definition,"A term related to individuals or teams that travels between the various dimensions. More advance travelers can even travel between Dimensional Planes albeit vary rare. Because of their travels, they often befriend Dimension Guards and wear special ranked uniforms to allow for travel. Typically travelers are employed by different companies even a few by human based secret organizations."
Chapter 10 (Dictionary),Astrals,astrals,published,definition,Beings consisting entirely of energy without corporal forms.
Chapter 10 (Dictionary),Spirits,spirits,published,definition,"Guides and sometimes teachers of the living. Unlike ghosts, they can freely come and go between the Realm of the Living to the Astral Plane."
Chapter 10 (Dictionary),Ghosts,ghosts,published,definition,"The remaining energy of someone’s soul that gets trapped in a place where their death has happened. Sometimes when a ghost stays in the Realm of the Living pass their Life Date, they can gain supernatural abilities."
Chapter 10 (Dictionary),Ghouls,ghouls,published,definition,Powerful spirits that take various forms from little children to old hags. They usually have a green glow around themselves and are the evil counterparts to Spirits in that they are an evolution of a ghost but instead of helping the living they trick them into evil deeds.
Chapter 10 (Dictionary),Poltergeist,poltergeist,published,definition,Powerful spirits that are capable of directly harming living beings. A ghost can only get to this level if they have had a traumatic death and have been either a Spirit or Ghoul.
Chapter 10 (Dictionary),Wraith,wraith,published,definition,"The most powerful Astral being there is, they can take many forms however usually appear almost skeletal with large flowing cloaks that if touch can kill anything including gods upon touch. Their exact beginnings are unknown, but they appear when a great disaster is about to happen. They appear moments before the Akuma began to destroy the cosmos."
Chapter 10 (Dictionary),Telekinesis,telekinesis,published,definition,"Type: Ability
User: All types of Mages

Telekinesis is the ability to move objects with one’s mind. It is a common ability that most mages can do with ease. Kendo Lazaron is one of the most powerful mages capable of using it."
Chapter 10 (Dictionary),Telepathy,telepathy,published,definition,"Type: Ability
User: Telepaths

Capability to read someone’s mind. This ability doesn’t always work if someone has learned Mind Blocking."
Chapter 10 (Dictionary),Mind Blocking,mind-blocking,published,definition,"Type: Ability
User: All types of Mages

A basic form of magic that allows someone to block others from reading their mind. Depending on how skilled the Telepath is, this may not be effective."
Chapter 10 (Dictionary),Empathy,empathy,published,definition,"Type: Ability
User: Empaths

A powerful ability capable of reading someone’s emotions. A popular ability mostly used by Druids, however Kendo Lazaron learned it and is extremely skilled at it."
Chapter 10 (Dictionary),Pyrokinesis,pyrokinesis,published,definition,"Type: Ability
User: Elementals

The ability to control fire at will. Firestarters were powerful Elementals capable of controlling a great deal of fire. Khaun Lazaron, son of Kendo Lazaron is a Firestarter cable of controlling heat around him at will."
Chapter 10 (Dictionary),Power of Thought,power-of-thought,published,definition,"Type: Ability
User: Djins

Power of Thought is a powerful ability and common with Djins. It is the ability to be able to bring anything into existence with a thought."
Chapter 10 (Dictionary),Illustrative Thought,illustrative-thought,published,definition,"Type: Ability
User: Djins & Witches

Illustrative Thought is a sub-ability to Power of Thought. The user can bring drawings to life."
Chapter 10 (Dictionary),Projection,projection,published,definition,"Type: Ability
User: Djins

A powerful ability and sub-ability to Power of Thought. This allows the user to bring forth anything they can think of. Because of the level of concentration, this ability is only permanent if the user can continue to concentrate on it."
Chapter 10 (Dictionary),Blood Magic,blood-magic-dictionary,published,definition,"Type: Ability
User: Witch

A powerful type of magic developed by witches during the rise of Tonik’s followers. This ability is dangerous as it allows the user to amplify their power and bring anything into existence with their blood. It was outlawed because using this power can also kill the user the longer, they perform it."
Chapter 10 (Dictionary),Shadow Magic,shadow-magic,published,definition,"Type: Ability
User: Shadow Creatures, Djins, Witches, & Shadow Fiend

Typically seen as a dark form of magic, but shadow magic is neutral in its natural form. The ability to control shadows, even as far as turning shadows into physical weapons. However, this ability while neutral is descendant from the Shadow Fiend. It was used by the Shadow Fiend to send multiple worlds into the Dark Ages and caused the beginning of the Dark War."
Chapter 10 (Dictionary),Virtual Reality Bending,virtual-reality-bending,published,definition,"Type: Ability
User: Witch, Djin, Gods

Virtual Reality Bending is a rare ability that allows someone to create virtual realities at will. It also allows them to control that reality like a GOD."
Chapter 10 (Dictionary),Shapeshifting,shapeshifting,published,definition,"Type: Ability & Spell
User: Changlings, Shapeshifters, Gods, Witches, Djins, Fairies, Sorcerers, Wizards

Capable of allowing someone to change their appearance."
Chapter 10 (Dictionary),As a spell,as-a-spell,published,definition,For those that can’t naturally perform this ability. Spells like the Changling Spell used by witches can perform similar transformations.
Chapter 10 (Dictionary),Flight,flight,published,definition,"Type: Ability
User: All types of mages & descendants

Flight is a basic ability for mages. Typically someone would have to use magic to control their body while moving through the sky. Many descendants have this ability with no known affect needed for it to work."
Chapter 10 (Dictionary),Synthekinesis,synthekinesis,published,definition,"Type: Ability
User: All types of mages & descendants

Synthekinesis is the ability to control light. Rather the user just redirects the light, emits the light from their body or somewhere else, or through other means. This ability is common with Elementals."
Chapter 10 (Dictionary),Aquakinesis,aquakinesis,published,definition,"Type: Ability
User: Elementals

The ability to control water, some users can turn their entire body to liquid and others can create water out of various things and objects. Kara Lazaron & Aqua are two of the most powerful users of this ability."
